country_name,year,quarter,cpi
Japan,2022,1,100.8
Japan,2022,2,101.5
Japan,2022,3,102.8
Japan,2022,4,104.2
Japan,2023,1,105.1
Japan,2023,2,105.8
Japan,2023,3,106.2
Japan,2023,4,106.8
Japan,2024,1,107.2
Japan,2024,2,107.8
Japan,2024,3,108.5
Japan,2024,4,109.1
