country_name,year,gdp
Japan,2024,52039.17166
United States,1990,23888.60001
United States,1991,24342.2589
United States,1992,25418.99078
United States,1993,26387.29373
United States,1994,27694.85342
United States,1995,28690.8757
United States,1996,29967.71272
United States,1997,31459.12997
United States,1998,32853.67259
United States,1999,34515.38131
United States,2000,36329.97026
United States,2001,37133.6204
United States,2002,37997.74243
United States,2003,39490.30239
United States,2004,41724.6412
United States,2005,44123.39965
United States,2006,46301.98765
United States,2007,48050.22741
United States,2008,48570.05943
United States,2009,47194.95009
United States,2010,48642.63121
United States,2011,50024.88123
United States,2012,51708.39406
United States,2013,53297.38629
United States,2014,55153.39402
United States,2015,56849.46979
United States,2016,57976.6282
United States,2017,60047.71907
United States,2018,62875.66614
United States,2019,65227.95659
United States,2020,64401.50744
United States,2021,71307.40173
United States,2022,77860.91129
United States,2023,82304.62043
United States,2024,85809.90038
